Major,Early Career Pay,Mid-Career Pay,Spread
Exercise Science,48900.0,72900.0,24000.0
Culinary Arts & Food Service Management,49800.0,73700.0,23900.0
Family & Community Services,49700.0,73500.0,23800.0
Physical Geography,56100.0,79800.0,23700.0
Humanities,58100.0,81800.0,23700.0
Small Business Management,54000.0,77600.0,23600.0
Plant Sciences,57400.0,80900.0,23500.0
Educational Studies (ED),46900.0,70300.0,23400.0
Radio Broadcasting,53100.0,76500.0,23400.0
Hospital Administration,60100.0,83300.0,23200.0
Workforce Education & Development,69100.0,92200.0,23100.0
Pastoral Ministry,45800.0,68900.0,23100.0
Management & Organization,79500.0,102400.0,22900.0
Legal Assistant Studies,43300.0,66100.0,22800.0
Life Sciences,61100.0,83900.0,22800.0
Forensic Accounting,56200.0,78900.0,22700.0
History Teacher Education,53000.0,75700.0,22700.0
Radiologic Technology,64000.0,86600.0,22600.0
English Teacher Education,50300.0,72900.0,22600.0
Ceramics,51100.0,73700.0,22600.0
Technical Management,74800.0,97400.0,22600.0
Interior Design & Merchandising,51700.0,74300.0,22600.0
African American & African Studies,55900.0,78400.0,22500.0
Quality Management,73300.0,95800.0,22500.0
Sculpture,46000.0,68200.0,22200.0
Conservation Biology,49400.0,71600.0,22200.0
Instrumental Music Teacher Education,51100.0,73200.0,22100.0
Nutrition & Dietetics,59000.0,81100.0,22100.0
Forensic Science,53600.0,75700.0,22100.0
Secondary English Teacher Education,51700.0,73600.0,21900.0
Parks & Recreation Management,49700.0,71500.0,21800.0
Modern Languages,58900.0,80700.0,21800.0
Music Teacher Education,49600.0,71300.0,21700.0
Justice Studies,53800.0,75200.0,21400.0
Audio Production,51300.0,72600.0,21300.0
Nursing,75300.0,96600.0,21300.0
Physical Education & Exercise Science,52600.0,73900.0,21300.0
Rehabilitation Services,43600.0,64700.0,21100.0
Teaching English as a Second Language (ESL),49900.0,70900.0,21000.0
Christian Ministry,44300.0,65200.0,20900.0
Bible Studies & Theology,46300.0,67000.0,20700.0
Dietetics,59700.0,80300.0,20600.0
Diagnostic Medical Sonography,74100.0,94400.0,20300.0
Clinical Laboratory Science,63400.0,83700.0,20300.0
Horticulture,49900.0,70100.0,20200.0
Wildlife Biology,50200.0,70400.0,20200.0
Nursing Science,77900.0,98100.0,20200.0
Dance,51800.0,72000.0,20200.0
Nuclear Medicine Technology,70300.0,90300.0,20000.0
Nutrition Science,57800.0,77800.0,20000.0
International Trade,55700.0,75600.0,19900.0
Tourism Management,51400.0,71300.0,19900.0
Respiratory Care,63700.0,83500.0,19800.0
Athletic Training,49100.0,68900.0,19800.0
Family Studies,46300.0,66100.0,19800.0
Bachelor in Science Nursing,78500.0,98300.0,19800.0
Youth Ministry,44000.0,63700.0,19700.0
Music Industry,54500.0,74100.0,19600.0
Health Promotion,49500.0,69000.0,19500.0
Human Development & Family Studies,47000.0,66400.0,19400.0
Medical Laboratory Technology,66700.0,85800.0,19100.0
Community Health Education,50100.0,69200.0,19100.0
Cytotechnology,69100.0,88100.0,19000.0
Biblical Studies,48400.0,67300.0,18900.0
Bachelor of Science in Nursing,74300.0,92900.0,18600.0
Respiratory Therapy,63800.0,82400.0,18600.0
Recreation Administration,55500.0,74000.0,18500.0
Medical Laboratory Science,64900.0,83400.0,18500.0
Community Health,54300.0,72400.0,18100.0
Social Studies Teacher Education,50900.0,69000.0,18100.0
Social Work (SW),45000.0,63000.0,18000.0
Radiography,64700.0,82600.0,17900.0
Elementary Special Education,52500.0,70300.0,17800.0
Medical Technology,62800.0,80500.0,17700.0
Electronic & Computer Technology,76400.0,94000.0,17600.0
Gender Studies,52700.0,70000.0,17300.0
Middle Eastern Studies,67900.0,85100.0,17200.0
Child Development,43400.0,60400.0,17000.0
Communication Sciences & Disorders,52000.0,68700.0,16700.0
Office Administration,45600.0,62300.0,16700.0
Consumer Affairs,59500.0,76200.0,16700.0
Special Education,48400.0,65000.0,16600.0
Community Development,53000.0,69600.0,16600.0
Therapeutic Recreation,46700.0,63200.0,16500.0
Electronic Systems Technology (EST),89500.0,105600.0,16100.0
Recording Arts,53400.0,69200.0,15800.0
Home Economics,49200.0,65000.0,15800.0
Human Services (HS),45800.0,61400.0,15600.0
Music Therapy,49400.0,64900.0,15500.0
Speech & Hearing,53200.0,68600.0,15400.0
Elementary Education,47300.0,62500.0,15200.0
Christian Education,47200.0,62200.0,15000.0
Fashion & Retail Management,57300.0,72300.0,15000.0
Diagnostic Medical Imaging,70300.0,85200.0,14900.0
Health and Human Services,50600.0,65100.0,14500.0
Community & Human Services,49500.0,63200.0,13700.0
Diagnostic Medical Ultrasound,78900.0,92500.0,13600.0
Outdoor Education,43400.0,56900.0,13500.0
Network Technology,64100.0,77500.0,13400.0
Recreational Therapy,45700.0,58900.0,13200.0
Early Childhood & Elementary Education,44900.0,58000.0,13100.0
Baking & Pastry Arts,43700.0,56500.0,12800.0
Child & Family Studies,42900.0,55300.0,12400.0
Landscape Design,57900.0,70000.0,12100.0
Equine Studies,42300.0,54100.0,11800.0
Practical Nursing,72100.0,83300.0,11200.0
Dental Hygiene,83400.0,94000.0,10600.0
Mental Health,44100.0,54500.0,10400.0
Middle School Education,49900.0,60200.0,10300.0
Nonprofit Administration,43900.0,53700.0,9800.0
Early Childhood Education,43400.0,52200.0,8800.0
Addictions Counseling,47300.0,52400.0,5100.0
Metalsmithing,45900.0,46600.0,700.0
