Major,Early Career Pay,Mid-Career Pay,Spread
Packaging Science,80700.0,133700.0,53000.0
Real Estate,71400.0,124200.0,52800.0
Cell Biology,58500.0,111300.0,52800.0
Entrepreneurship & Leadership,67000.0,119800.0,52800.0
Business & Marketing,61400.0,114100.0,52700.0
Chemical & Biomolecular Engineering,88300.0,140900.0,52600.0
Politics,61300.0,113800.0,52500.0
Accounting & Economics,76700.0,129100.0,52400.0
Business Finance,67100.0,119400.0,52300.0
Sales & Business Marketing,67000.0,119300.0,52300.0
Consumer Economics,62400.0,114600.0,52200.0
Chemistry,60200.0,112300.0,52100.0
Agricultural Economics & Business,63700.0,115800.0,52100.0
Digital Design,57800.0,109700.0,51900.0
Information Assurance,63500.0,115300.0,51800.0
Marketing & Management,59700.0,111500.0,51800.0
Business Management & Marketing,58700.0,110500.0,51800.0
Marketing,60200.0,111900.0,51700.0
Mechanical Engineering (ME),82000.0,133700.0,51700.0
Construction Management,74200.0,125900.0,51700.0
Hotel Management,58000.0,109700.0,51700.0
Mathematics,74900.0,126600.0,51700.0
Nuclear Engineering,86900.0,138500.0,51600.0
Industrial Safety,61100.0,112600.0,51500.0
Telecommunications Engineering,81400.0,132800.0,51400.0
Industrial Psychology,58100.0,109500.0,51400.0
Advertising,55100.0,106400.0,51300.0
Italian Language,58400.0,109700.0,51300.0
Finance,70800.0,122000.0,51200.0
Mining Engineering,87400.0,138600.0,51200.0
Applied Physics,78700.0,129800.0,51100.0
Business Information Systems,75500.0,126600.0,51100.0
Spanish Literature,59500.0,110500.0,51000.0
Strategic Communication,54900.0,105800.0,50900.0
Marketing & Communications,58400.0,109200.0,50800.0
Materials Engineering,83700.0,134500.0,50800.0
Latin American Studies,54900.0,105600.0,50700.0
Labor Studies,55300.0,106000.0,50700.0
Paper Science,87400.0,138000.0,50600.0
Building Construction Management,73600.0,124100.0,50500.0
Civil Engineering (CE),75800.0,126100.0,50300.0
Digital Media Design,53800.0,104000.0,50200.0
Electronics Engineering,81500.0,131700.0,50200.0
Environmental Science & Policy,58800.0,108800.0,50000.0
Software Engineering,86800.0,136600.0,49800.0
Political Science,59800.0,109600.0,49800.0
Urban Planning,57600.0,107300.0,49700.0
Cybersecurity,74800.0,124400.0,49600.0
Plastics Engineering,81500.0,131000.0,49500.0
Aviation Flight Science (AFL),64200.0,113500.0,49300.0
Computer Information Systems (CIS),71700.0,121000.0,49300.0
Biopsychology,61600.0,110700.0,49100.0
Business & Finance,63400.0,112400.0,49000.0
Civil & Environmental Engineering,75900.0,124900.0,49000.0
Plastics Engineering Technology,75000.0,124000.0,49000.0
Information Systems (IS),75300.0,124200.0,48900.0
Agronomy,56400.0,105300.0,48900.0
Environmental Design,55600.0,104200.0,48600.0
