Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Mean
481,Nuclear Medicine Technology,Bachelors,70300.0,90300.0,80.0
481,Religious Studies,Bachelors,53000.0,90300.0,54.0
485,English Language & Literature,Bachelors,54200.0,90200.0,44.0
486,Information & Communication Technology,Bachelors,55500.0,90100.0,54.0
486,Museum Studies,Bachelors,44200.0,90100.0,36.0
488,Business Technology,Bachelors,64400.0,90000.0,49.0
488,Radiologic Science,Bachelors,66000.0,90000.0,81.0
490,Organizational Leadership,Bachelors,58300.0,89900.0,58.0
490,Animation,Bachelors,52400.0,89900.0,35.0
492,Art History,Bachelors,55300.0,89800.0,44.0
492,Management & Leadership,Bachelors,60900.0,89800.0,56.0
492,Meteorology,Bachelors,54400.0,89800.0,53.0
495,Film Production,Bachelors,51800.0,89600.0,38.0
495,Technical Writing,Bachelors,62400.0,89600.0,38.0
498,Administrative Management,Bachelors,60900.0,89500.0,47.0
498,Forestry Management,Bachelors,56100.0,89500.0,68.0
500,Automotive Technology & Service Management,Bachelors,63200.0,89400.0,29.0
502,Multimedia,Bachelors,52700.0,89000.0,44.0
502,Fashion Marketing & Management,Bachelors,56500.0,89000.0,27.0
504,Organizational Management,Bachelors,57200.0,88900.0,61.0
505,Apparel Merchandising,Bachelors,56700.0,88800.0,35.0
505,Earth Science,Bachelors,58700.0,88800.0,52.0
505,Ethnic Studies,Bachelors,55900.0,88800.0,64.0
508,German Language & Literature,Bachelors,59400.0,88600.0,44.0
508,Radiology,Bachelors,63800.0,88600.0,82.0
508,Zoology,Bachelors,48200.0,88600.0,67.0
511,Human Nutrition,Bachelors,57700.0,88500.0,81.0
512,Agricultural Communication,Bachelors,52400.0,88400.0,47.0
512,Audio Engineering,Bachelors,55500.0,88400.0,40.0
512,Geomatics,Bachelors,59400.0,88400.0,64.0
515,Broadcast Journalism,Bachelors,51100.0,88300.0,52.0
516,Cytotechnology,Bachelors,69100.0,88100.0,85.0
516,Marketing & Advertising,Bachelors,57000.0,88100.0,46.0
518,Applied Management,Bachelors,50600.0,88000.0,62.0
518,Social Studies,Bachelors,56600.0,88000.0,53.0
520,Communication Design,Bachelors,60600.0,87900.0,34.0
520,Romance Languages,Bachelors,59100.0,87900.0,57.0
522,Sociology & Anthropology,Bachelors,53300.0,87800.0,53.0
523,Creative Writing,Bachelors,52800.0,87700.0,41.0
523,Human Resources (HR),Bachelors,55500.0,87700.0,55.0
525,Law Enforcement,Bachelors,55200.0,87400.0,64.0
526,Criminal Justice Administration,Bachelors,53700.0,87300.0,61.0
527,Marine Science,Bachelors,53600.0,87200.0,63.0
529,Advertising & Graphic Design,Bachelors,55100.0,87100.0,39.0
529,Technical & Scientific Communication,Bachelors,59200.0,87100.0,36.0
531,Natural Resources,Bachelors,56000.0,86800.0,57.0
532,Radiologic Technology,Bachelors,64000.0,86600.0,82.0
533,Sports Administration,Bachelors,52500.0,86500.0,46.0
534,Broadcast Communication,Bachelors,48700.0,86400.0,47.0
535,Cultural Anthropology,Bachelors,56400.0,86300.0,49.0
536,Human Resources Development,Bachelors,57000.0,86100.0,51.0
537,Human Relations,Bachelors,53500.0,86000.0,59.0
537,Merchandising,Bachelors,61000.0,86000.0,33.0
540,Communication Management,Bachelors,54400.0,85900.0,45.0
542,Administration,Bachelors,49700.0,85800.0,60.0
542,Adult Education & Training,Bachelors,58000.0,85800.0,78.0
542,Health Care Management,Bachelors,53000.0,85800.0,74.0
542,Medical Laboratory Technology,Bachelors,66700.0,85800.0,83.0
546,Multimedia & Web Design,Bachelors,57600.0,85700.0,31.0
546,Psychology,Bachelors,52800.0,85700.0,57.0
548,Visual Communications,Bachelors,52800.0,85600.0,34.0
549,Emergency Management,Bachelors,58900.0,85500.0,76.0
550,Natural Resource Management,Bachelors,54600.0,85300.0,53.0
550,Hotel & Restaurant Management,Bachelors,56400.0,85300.0,49.0
552,Anthropology,Bachelors,55200.0,85200.0,46.0
552,Diagnostic Medical Imaging,Bachelors,70300.0,85200.0,74.0
554,Middle Eastern Studies,Bachelors,67900.0,85100.0,46.0
554,Painting & Printmaking,Bachelors,40500.0,85100.0,44.0
556,Criminology,Bachelors,52200.0,85000.0,54.0
556,New Media,Bachelors,53100.0,85000.0,37.0
558,Psychology & Social Behavior,Bachelors,53300.0,84900.0,59.0
559,Art & Design,Bachelors,53200.0,84700.0,39.0
560,Ecology,Bachelors,54700.0,84500.0,58.0
560,Interior Design,Bachelors,53200.0,84500.0,51.0
560,Multidisciplinary Studies,Bachelors,51500.0,84500.0,53.0
560,Hospitality Management,Bachelors,55400.0,84500.0,43.0
564,Music,Bachelors,52700.0,84400.0,55.0
565,Health Sciences,Bachelors,52300.0,84300.0,70.0
565,Sociology,Bachelors,54700.0,84300.0,55.0
568,Cardiopulmonary Science,Bachelors,58200.0,84000.0,92.0
569,Archaeology,Bachelors,52700.0,83900.0,46.0
569,Life Sciences,Bachelors,61100.0,83900.0,62.0
569,SocialStudies,Bachelors,54200.0,83900.0,57.0
572,Communication Arts,Bachelors,49600.0,83800.0,40.0
573,Health Information Management,Bachelors,57200.0,83700.0,68.0
573,Kinesiology,Bachelors,52600.0,83700.0,66.0
573,Clinical Laboratory Science,Bachelors,63400.0,83700.0,82.0
577,Child Psychology,Bachelors,50500.0,83500.0,61.0
577,Exercise Physiology,Bachelors,50600.0,83500.0,74.0
577,Respiratory Care,Bachelors,63700.0,83500.0,85.0
580,Art Therapy,Bachelors,47500.0,83400.0,83.0
580,Medical Laboratory Science,Bachelors,64900.0,83400.0,86.0
580,Secondary Education,Bachelors,52100.0,83400.0,59.0
580,Theater,Bachelors,52800.0,83400.0,48.0
584,Hospital Administration,Bachelors,60100.0,83300.0,51.0
584,Practical Nursing,Bachelors,72100.0,83300.0,80.0
586,Health,Bachelors,51000.0,83200.0,70.0
586,Health Care Administration,Bachelors,53400.0,83200.0,68.0
588,Mass Media,Bachelors,47100.0,82900.0,46.0
589,Sustainability,Bachelors,56100.0,82700.0,58.0
590,Radiography,Bachelors,64700.0,82600.0,82.0
591,Media Communication,Bachelors,55000.0,82500.0,45.0
592,Applied Behavior Analysis,Bachelors,44700.0,82400.0,88.0
592,Biological Anthropology,Bachelors,54900.0,82400.0,47.0
592,Respiratory Therapy,Bachelors,63800.0,82400.0,84.0
596,Radio & Television,Bachelors,50100.0,82100.0,39.0
597,Recreation Management,Bachelors,50300.0,81900.0,60.0
598,Humanities,Bachelors,58100.0,81800.0,55.0
599,Computer Art,Bachelors,45400.0,81600.0,37.0
600,Communications Technology,Bachelors,54100.0,81500.0,32.0
602,Commercial Photography,Bachelors,50400.0,81300.0,26.0
603,Fashion Design & Marketing,Bachelors,55300.0,81200.0,50.0
603,Interdisciplinary Studies (IS),Bachelors,52200.0,81200.0,56.0
603,Web Design,Bachelors,55500.0,81200.0,29.0
606,Legal Studies,Bachelors,55000.0,81100.0,52.0
606,Nutrition & Dietetics,Bachelors,59000.0,81100.0,71.0
608,Plant Sciences,Bachelors,57400.0,80900.0,56.0
609,Graphic Design,Bachelors,52900.0,80800.0,38.0
609,Fine Arts,Bachelors,50400.0,80800.0,45.0
611,Liberal Studies,Bachelors,52800.0,80700.0,55.0
611,Modern Languages,Bachelors,58900.0,80700.0,54.0
613,Religion,Bachelors,51900.0,80600.0,56.0
614,Medical Technology,Bachelors,62800.0,80500.0,84.0
615,Dietetics,Bachelors,59700.0,80300.0,73.0
615,Health Administration,Bachelors,49500.0,80300.0,65.0
618,Applied Sociology,Bachelors,48900.0,80100.0,59.0
619,Criminal Justice,Bachelors,50000.0,80000.0,56.0
620,Ornamental Horticulture,Bachelors,47400.0,79800.0,67.0
620,Physical Geography,Bachelors,56100.0,79800.0,58.0
622,Ministry,Bachelors,42700.0,79600.0,79.0
622,Public Health (PH),Bachelors,54000.0,79600.0,70.0
625,Speech-Language Pathology,Bachelors,51400.0,79400.0,68.0
626,Drawing,Bachelors,44300.0,79300.0,36.0
627,Health & Fitness,Bachelors,45300.0,79200.0,71.0
628,Forensic Psychology,Bachelors,49700.0,79100.0,57.0
630,Culture Studies,Bachelors,53500.0,79000.0,55.0
631,Foods & Nutrition,Bachelors,54500.0,78900.0,67.0
631,Women's Studies,Bachelors,52500.0,78900.0,60.0
631,Forensic Accounting,Bachelors,56200.0,78900.0,48.0
634,Animal Science,Bachelors,48300.0,78800.0,66.0
635,Performing Arts,Bachelors,52900.0,78600.0,57.0
636,Education,Bachelors,52200.0,78500.0,65.0
637,African American & African Studies,Bachelors,55900.0,78400.0,60.0
638,Hospitality & Tourism,Bachelors,53200.0,78200.0,41.0
638,Modern Language Spanish,Bachelors,52400.0,78200.0,65.0
641,Nutrition Science,Bachelors,57800.0,77800.0,69.0
642,Speech Pathology & Audiology,Bachelors,53100.0,77700.0,78.0
643,Media Production,Bachelors,50800.0,77600.0,36.0
643,Small Business Management,Bachelors,54000.0,77600.0,36.0
645,Painting,Bachelors,48500.0,77500.0,45.0
645,Network Technology,Bachelors,64100.0,77500.0,66.0
648,Psychology & Sociology,Bachelors,50700.0,77400.0,54.0
649,Music Composition,Bachelors,51200.0,77300.0,53.0
649,Video Production,Bachelors,48900.0,77300.0,33.0
652,Mortuary Science,Bachelors,49100.0,76600.0,80.0
652,Technical Theatre,Bachelors,48000.0,76600.0,42.0
654,Family & Consumer Science,Bachelors,51300.0,76500.0,61.0
654,Radio Broadcasting,Bachelors,53100.0,76500.0,41.0
654,Theology,Bachelors,51800.0,76500.0,67.0
657,Health Studies,Bachelors,50900.0,76400.0,64.0
658,Consumer Affairs,Bachelors,59500.0,76200.0,44.0
659,Vocal Performance,Bachelors,49900.0,76100.0,63.0
660,Art,Bachelors,51000.0,76000.0,46.0
661,Behavioral Science,Bachelors,50800.0,75900.0,61.0
661,Health Services Administration,Bachelors,50100.0,75900.0,64.0
663,General Studies,Bachelors,51300.0,75800.0,54.0
663,Photography,Bachelors,51300.0,75800.0,39.0
665,Exercise & Sports Science,Bachelors,49500.0,75700.0,70.0
665,Forensic Science,Bachelors,53600.0,75700.0,62.0
665,History Teacher Education,Bachelors,53000.0,75700.0,48.0
668,International Trade,Bachelors,55700.0,75600.0,44.0
669,Restaurant & Food Service Management,Bachelors,50600.0,75500.0,40.0
670,Health & Physical Education Teaching,Bachelors,46600.0,75300.0,63.0
671,Justice Studies,Bachelors,53800.0,75200.0,50.0
672,Tourism & Travel,Bachelors,46700.0,75100.0,38.0
673,Culinary Arts,Bachelors,47800.0,74900.0,56.0
673,Physical Education Teaching,Bachelors,49700.0,74900.0,69.0
676,Graphic Arts,Bachelors,49800.0,74600.0,45.0
677,Interior Design & Merchandising,Bachelors,51700.0,74300.0,43.0
677,Supervision & Management,Bachelors,49500.0,74300.0,60.0
679,Event Management,Bachelors,49800.0,74100.0,41.0
679,Health & Wellness,Bachelors,46800.0,74100.0,69.0
679,Music Industry,Bachelors,54500.0,74100.0,37.0
682,Clinical Psychology,Bachelors,49300.0,74000.0,66.0
682,Recreation Administration,Bachelors,55500.0,74000.0,64.0
684,Health & Exercise Science,Bachelors,48300.0,73900.0,66.0
684,Physical Education & Exercise Science,Bachelors,52600.0,73900.0,71.0
686,Recreation & Leisure Studies,Bachelors,48400.0,73800.0,60.0
687,Ceramics,Bachelors,51100.0,73700.0,46.0
687,Culinary Arts & Food Service Management,Bachelors,49800.0,73700.0,47.0
689,Secondary English Teacher Education,Bachelors,51700.0,73600.0,62.0
690,Family & Community Services,Bachelors,49700.0,73500.0,75.0
691,Instrumental Music Teacher Education,Bachelors,51100.0,73200.0,69.0
692,Health Services Management,Bachelors,48900.0,73100.0,87.0
693,Exercise Science,Bachelors,48900.0,72900.0,72.0
693,English Teacher Education,Bachelors,50300.0,72900.0,58.0
693,Paralegal Studies,Bachelors,47300.0,72900.0,49.0
696,Audio Production,Bachelors,51300.0,72600.0,44.0
697,Community Health,Bachelors,54300.0,72400.0,72.0
697,Photojournalism,Bachelors,48200.0,72400.0,55.0
699,Fashion & Retail Management,Bachelors,57300.0,72300.0,31.0
700,Dance,Bachelors,51800.0,72000.0,60.0
701,Conservation Biology,Bachelors,49400.0,71600.0,53.0
702,Parks & Recreation Management,Bachelors,49700.0,71500.0,60.0
703,Music Teacher Education,Bachelors,49600.0,71300.0,58.0
703,Tourism Management,Bachelors,51400.0,71300.0,39.0
706,Teaching English as a Second Language (ESL),Bachelors,49900.0,70900.0,65.0
708,Wildlife Biology,Bachelors,50200.0,70400.0,57.0
709,Educational Studies (ED),Bachelors,46900.0,70300.0,66.0
709,Elementary Special Education,Bachelors,52500.0,70300.0,82.0
711,Horticulture,Bachelors,49900.0,70100.0,56.0
712,Gender Studies,Bachelors,52700.0,70000.0,54.0
712,Landscape Design,Bachelors,57900.0,70000.0,70.0
712,Wildlife Management,Bachelors,45800.0,70000.0,46.0
715,Community Development,Bachelors,53000.0,69600.0,70.0
717,Community Health Education,Bachelors,50100.0,69200.0,69.0
717,Recording Arts,Bachelors,53400.0,69200.0,56.0
720,Health Promotion,Bachelors,49500.0,69000.0,71.0
720,Social Studies Teacher Education,Bachelors,50900.0,69000.0,62.0
722,Athletic Training,Bachelors,49100.0,68900.0,75.0
722,Pastoral Ministry,Bachelors,45800.0,68900.0,75.0
724,Communication Sciences & Disorders,Bachelors,52000.0,68700.0,74.0
725,Speech & Hearing,Bachelors,53200.0,68600.0,70.0
726,Sculpture,Bachelors,46000.0,68200.0,49.0
727,Church Ministries,Bachelors,43300.0,67400.0,80.0
728,Biblical Studies,Bachelors,48400.0,67300.0,69.0
730,Bible Studies & Theology,Bachelors,46300.0,67000.0,68.0
731,Human Development & Family Studies,Bachelors,47000.0,66400.0,64.0
732,Family Studies,Bachelors,46300.0,66100.0,59.0
732,Legal Assistant Studies,Bachelors,43300.0,66100.0,39.0
734,Christian Ministry,Bachelors,44300.0,65200.0,75.0
735,Health and Human Services,Bachelors,50600.0,65100.0,65.0
735,Voice & Opera,Bachelors,39600.0,65100.0,52.0
737,Home Economics,Bachelors,49200.0,65000.0,69.0
737,Special Education,Bachelors,48400.0,65000.0,74.0
739,Music Therapy,Bachelors,49400.0,64900.0,95.0
740,Rehabilitation Services,Bachelors,43600.0,64700.0,76.0
741,Youth Ministry,Bachelors,44000.0,63700.0,76.0
744,Community & Human Services,Bachelors,49500.0,63200.0,79.0
744,Therapeutic Recreation,Bachelors,46700.0,63200.0,83.0
746,Social Work (SW),Bachelors,45000.0,63000.0,77.0
747,Elementary Education,Bachelors,47300.0,62500.0,68.0
748,Office Administration,Bachelors,45600.0,62300.0,68.0
749,Christian Education,Bachelors,47200.0,62200.0,84.0
750,Human Services (HS),Bachelors,45800.0,61400.0,71.0
751,Child Development,Bachelors,43400.0,60400.0,74.0
752,Middle School Education,Bachelors,49900.0,60200.0,76.0
753,Recreational Therapy,Bachelors,45700.0,58900.0,82.0
754,Early Childhood & Elementary Education,Bachelors,44900.0,58000.0,77.0
755,Outdoor Education,Bachelors,43400.0,56900.0,47.0
756,Baking & Pastry Arts,Bachelors,43700.0,56500.0,38.0
757,Child & Family Studies,Bachelors,42900.0,55300.0,73.0
758,Mental Health,Bachelors,44100.0,54500.0,79.0
759,Equine Studies,Bachelors,42300.0,54100.0,50.0
760,Nonprofit Administration,Bachelors,43900.0,53700.0,73.0
761,Addictions Counseling,Bachelors,47300.0,52400.0,78.0
762,Early Childhood Education,Bachelors,43400.0,52200.0,78.0
763,Metalsmithing,Bachelors,45900.0,46600.0,36.0
