Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Mean
108,Government,Bachelors,65800.0,127400.0,44.0
108,Nuclear Engineering Technology (NET),Bachelors,96500.0,127400.0,53.0
108,Finance & Economics,Bachelors,72400.0,127400.0,42.0
111,Marketing & International Business,Bachelors,62100.0,127200.0,40.0
112,Biochemistry & Molecular Biology,Bachelors,64000.0,127000.0,71.0
112,Information Systems Management,Bachelors,72600.0,127000.0,49.0
114,Business Information Systems,Bachelors,75500.0,126600.0,45.0
114,Mathematics,Bachelors,74900.0,126600.0,44.0
116,Information Security & Assurance,Bachelors,70600.0,126400.0,46.0
117,Civil Engineering (CE),Bachelors,75800.0,126100.0,65.0
118,Construction Management,Bachelors,74200.0,125900.0,59.0
121,Applied Economics,Bachelors,71900.0,125600.0,41.0
121,Construction Science,Bachelors,79800.0,125600.0,69.0
121,Economics & Political Science,Bachelors,66100.0,125600.0,49.0
124,Political Communication,Bachelors,59300.0,125500.0,52.0
125,Aeronautical Science,Bachelors,64900.0,125300.0,64.0
125,Control Engineering,Bachelors,80000.0,125300.0,61.0
127,Russian Studies,Bachelors,57900.0,125200.0,40.0
128,Business Economics,Bachelors,68600.0,125100.0,45.0
129,Civil & Environmental Engineering,Bachelors,75900.0,124900.0,65.0
130,Business Computer Information Systems (BCIS),Bachelors,76500.0,124500.0,38.0
131,Cybersecurity,Bachelors,74800.0,124400.0,56.0
132,Engineering Management,Bachelors,79400.0,124200.0,50.0
132,Information Systems (IS),Bachelors,75300.0,124200.0,45.0
132,Manufacturing Engineering,Bachelors,79800.0,124200.0,50.0
132,Real Estate,Bachelors,71400.0,124200.0,43.0
136,Building Construction Management,Bachelors,73600.0,124100.0,68.0
137,Plastics Engineering Technology,Bachelors,75000.0,124000.0,30.0
138,International Marketing,Bachelors,67500.0,123700.0,21.0
139,Aviation,Bachelors,67500.0,123000.0,54.0
139,Biosystems Engineering,Bachelors,74800.0,123000.0,70.0
141,Data Processing,Bachelors,75900.0,122800.0,43.0
141,Food Marketing,Bachelors,67100.0,122800.0,30.0
143,Computer Science & Information Technology,Bachelors,76300.0,122500.0,49.0
144,Agricultural Economics,Bachelors,62400.0,122400.0,59.0
144,Management & Finance,Bachelors,66100.0,122400.0,61.0
144,Strategic Management,Bachelors,76400.0,122400.0,50.0
147,Computer Management Information Systems (CMIS),Bachelors,65800.0,122300.0,48.0
149,Finance,Bachelors,70800.0,122000.0,42.0
150,Financial Planning,Bachelors,63300.0,121900.0,59.0
151,Web Development,Bachelors,64600.0,121700.0,41.0
152,European Studies,Bachelors,62700.0,121600.0,42.0
153,Construction Engineering,Bachelors,78300.0,121300.0,61.0
154,International Relations,Bachelors,62900.0,121200.0,49.0
155,Molecular Biology,Bachelors,64300.0,121100.0,67.0
155,International Business,Bachelors,65100.0,121100.0,40.0
